band1,band2,band3
-0.1885,2.57,2.57
-0.1915,2.558,2.582
-0.202,2.526,2.6185
-0.22,2.4785,2.6285
-0.2485,2.4245,2.522
-0.289,2.3405,2.437
-0.343,2.244,2.373
-0.4125,2.1585,2.3165
-0.4975,2.079,2.279
-0.594,1.986,2.261
-0.6975,1.9035,2.2385
-0.799,1.8325,2.234
-0.8875,1.7775,2.249
-0.951,1.7435,2.271
-0.9885,1.7355,2.286
-0.986,1.7575,2.305
-0.964,1.809,2.3225
-0.924,1.8815,2.341
-0.8695,1.9535,2.373
-0.801,1.9885,2.445
-0.7195,1.972,2.5615
-0.6275,1.9135,2.6615
-0.529,1.827,2.8705
-0.4295,1.727,3.0255
-0.3385,1.6265,3.135
-0.2635,1.542,3.2315
-0.215,1.4845,3.2905
-0.1985,1.465,3.31
-0.213,1.482,3.293
-0.249,1.5305,3.247
-0.2995,1.5995,3.1785
-0.354,1.68,3.094
-0.408,1.764,2.995
-0.4575,1.8435,2.9035
-0.5015,1.914,2.809
-0.5415,1.9705,2.7225
-0.5805,2.0105,2.65
-0.622,2.0315,2.5955
-0.6705,2.036,2.559
-0.729,2.03,2.5385
-0.79,2.0225,2.529
-0.823,2.019,2.5265
-0.8565,2.017,2.515
-0.8745,2.011,2.4835
-0.9305,2.002,2.4355
-0.9965,1.9935,2.3755
-1.062,1.987,2.31
-1.115,1.9865,2.2425
-1.146,1.9935,2.1765
-1.147,2.011,2.115
-1.114,2.0375,2.062
-1.0495,2.076,2.0195
-0.9595,2.134,1.992
-0.852,2.1815,1.982
-0.7365,2.2465,1.994
-0.622,2.3175,2.0295
-0.5165,2.359,2.0905
-0.4255,2.3705,2.1745
-0.351,2.392,2.2535
-0.2935,2.4425,2.341
-0.2505,2.5125,2.4305
-0.2215,2.6225,2.479
-0.2025,2.6195,2.525
-0.192,2.583,2.5575
-0.1885,2.57,2.57
